Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,10000,348,85,771,1596,3842,4,16107,"0,000%","137,52888","267,12","0,00"
/P1-base/procesapago,10000,368,98,850,1623,3823,6,16190,"0,000%","137,07080","111,87","0,00"
Total,20000,358,91,821,1613,3835,4,16190,"0,000%","265,15704","365,71","0,00"
