Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,2500,10,9,17,22,39,4,90,"0,000%","42,95385","83,41","0,00"
/P1-base/procesapago,2500,15,14,24,29,49,6,239,"0,000%","42,94131","48,50","0,00"
Total,5000,13,11,22,26,44,4,239,"0,000%","81,83172","125,67","0,00"
